#Version: 0.11
#Glossary type: Plant
#Source: fna_gloss_final_20130517 (merged from: fnagloss_fromHong_20130517125327, fna_glo)
#Finalized by: Dr. Hong Cui
#Date: 6/13/2014
#Reviewers: Heather Cole,Dr. Hong Cui,Stephanie Kha,Sonali Ranade,Jeff Saarela,Ishan Shah
#Source producer: OTO System

"term","category","hasSyn","sourceDataset","termID","remarks"
"auriculate","shape","0","fna_gloss_final_20130517","52718fa2-6792-4e80-b6de-f00baccba914","active"
"auriform","shape","0","fna_gloss_final_20130517","75e7f90b-e196-46c0-a58d-babac89c90de","active"
"autogamous","reproduction","0","fna_gloss_final_20130517","e4218a94-0f2e-4bc2-8c68-2ef690aa176f","active"
"automictic","reproduction","0","fna_gloss_final_20130517","37df73a4-b1bc-4afd-b9bf-45ead89c612a","active"
"autotrophic","nutrition","0","fna_gloss_final_20130517","0119b66f-55c3-4820-a510-b0baf35ed166","active"
"autumnal","duration","0","fna_gloss_final_20130517","eb7fa669-1466-4c3f-b4e3-e655f60913cf","active"
"awl_shaped","shape","0","fna_gloss_final_20130517","4ff987c3-437f-4cc1-af87-9e82f86f4a32","active"
"awn","structure","0","fna_gloss_final_20130517","3770462d-1696-49d9-af09-5caa5cd14d9f","active"
"awned","shape","0","fna_gloss_final_20130517","a972dd13-6a67-44ba-84c7-471800579af7","active"
"awnlike","shape","0","fna_gloss_final_20130517","fa747721-1ac7-4cf5-a39e-1083ad8297d9","active"
"axehead_shaped","shape","0","fna_gloss_final_20130517","046e8bfb-d1a1-43a9-a1c6-523b75d453b5","active"
"axes","structure","0","fna_gloss_final_20130517","2355281f-ab10-4ae2-a3d8-672cace068a8","active"
"axe_shaped","shape","0","fna_gloss_final_20130517","e64f44aa-5d06-44a0-b661-d29c9617525e","active"
"axil","structure","0","fna_gloss_final_20130517","d08f3751-3ae2-407c-9c16-1e561c933925","active"
"axile","arrangement","0","fna_gloss_final_20130517","22de4058-4f06-4bd4-9604-db9600bf19df","active"
"axillary","position","0","fna_gloss_final_20130517","d68e9b2f-2e6a-4884-bad4-8e4c7fd595f2","active"
"axis","structure","0","fna_gloss_final_20130517","1621cc8d-b61a-4f5b-999b-0a742189d75b","active"
"baccate","architecture","0","fna_gloss_final_20130517","0b53f7a0-bd05-46a9-9668-13475c730c1c","active"
"bag_shaped","shape","0","fna_gloss_final_20130517","10506bf7-f326-45af-a194-2b6392470f0e","active"
