#Version: 0.1
#Glossary type: Algea
#Source: diatom_test_2012_12_19
#Finalized by: Dr. Hong Cui
#Date: 
#Reviewers: treatise  ,Dr. Hong Cui,Sonali Ranade,Anna Yu
#Source producer: Anna Yu

"term","category","hasSyn","sourceDataset","termID"
"concentrical","shape","0","diatom_test_2012_12_19","ca5a3e56-11be-11e3-b45f-0026b9326338"
"pointed","shape","0","diatom_test_2012_12_19","ca5a3f1e-11be-11e3-b45f-0026b9326338"
"bounded","architecture","0","diatom_test_2012_12_19","ca5a3fe6-11be-11e3-b45f-0026b9326338"
"continuous","architecture","0","diatom_test_2012_12_19","ca5a40a4-11be-11e3-b45f-0026b9326338"
"deep","depth","0","diatom_test_2012_12_19","ca5a416c-11be-11e3-b45f-0026b9326338"
"coliculate","external texture","0","diatom_test_2012_12_19","ca5a4234-11be-11e3-b45f-0026b9326338"
"colliculate","external texture","0","diatom_test_2012_12_19","ca5a42f2-11be-11e3-b45f-0026b9326338"
"corroded","external texture","0","diatom_test_2012_12_19","ca5a43ba-11be-11e3-b45f-0026b9326338"
"eroded","external texture","0","diatom_test_2012_12_19","ca5a4478-11be-11e3-b45f-0026b9326338"
"granular","internal texture","0","diatom_test_2012_12_19","ca5a4540-11be-11e3-b45f-0026b9326338"
"cross","shape","0","diatom_test_2012_12_19","ca5a4aea-11be-11e3-b45f-0026b9326338"
"hexagonal","shape","0","diatom_test_2012_12_19","ca5a4bbc-11be-11e3-b45f-0026b9326338"
"hillocklike","shape","0","diatom_test_2012_12_19","ca5a4c7a-11be-11e3-b45f-0026b9326338"
"unstructured","shape","0","diatom_test_2012_12_19","ca5a4d42-11be-11e3-b45f-0026b9326338"
"eccentric","shape","0","diatom_test_2012_12_19","ca5a4e0a-11be-11e3-b45f-0026b9326338"
"fracturable","architecture","0","diatom_test_2012_12_19","ca5a4ec8-11be-11e3-b45f-0026b9326338"
"elongate","length","0","diatom_test_2012_12_19","ca5a4f90-11be-11e3-b45f-0026b9326338"
"excentric","position","0","diatom_test_2012_12_19","ca5a5058-11be-11e3-b45f-0026b9326338"
"well_defined","prominence","0","diatom_test_2012_12_19","ca5a5116-11be-11e3-b45f-0026b9326338"
"jagged","shape","0","diatom_test_2012_12_19","ca5a51de-11be-11e3-b45f-0026b9326338"
"whole","structure","0","diatom_test_2012_12_19","ca5a529c-11be-11e3-b45f-0026b9326338"
"furrowed","architecture","0","diatom_test_2012_12_19","ca5a5364-11be-11e3-b45f-0026b9326338"
"blunt","shape","0","diatom_test_2012_12_19","ca5a5422-11be-11e3-b45f-0026b9326338"
"forked","shape","0","diatom_test_2012_12_19","ca5a54ea-11be-11e3-b45f-0026b9326338"
"tapering","shape","0","diatom_test_2012_12_19","ca5a55a8-11be-11e3-b45f-0026b9326338"
"distributed","pattern","0","diatom_test_2012_12_19","ca5a5670-11be-11e3-b45f-0026b9326338"
"abrupt","shape","0","diatom_test_2012_12_19","ca5a572e-11be-11e3-b45f-0026b9326338"
"diameter","character","0","diatom_test_2012_12_19","ca5a57f6-11be-11e3-b45f-0026b9326338"
"diameters","character","0","diatom_test_2012_12_19","ca5a58be-11be-11e3-b45f-0026b9326338"
"dimension","character","0","diatom_test_2012_12_19","ca5a597c-11be-11e3-b45f-0026b9326338"
"dimensions","character","0","diatom_test_2012_12_19","ca5a5a44-11be-11e3-b45f-0026b9326338"
"diam","character","0","diatom_test_2012_12_19","ca5a5b02-11be-11e3-b45f-0026b9326338"
"structureless","architecture","0","diatom_test_2012_12_19","ca5a5bca-11be-11e3-b45f-0026b9326338"
"unstructured","architecture","0","diatom_test_2012_12_19","ca5a5c92-11be-11e3-b45f-0026b9326338"
"four_seriate","arrangement","0","diatom_test_2012_12_19","ca5a5d5a-11be-11e3-b45f-0026b9326338"
"orientation","character","0","diatom_test_2012_12_19","ca5a5e18-11be-11e3-b45f-0026b9326338"
"arrangement","character","0","diatom_test_2012_12_19","ca5a5ee0-11be-11e3-b45f-0026b9326338"
"arrangements","character","0","diatom_test_2012_12_19","ca5a5fa8-11be-11e3-b45f-0026b9326338"
"location","character","0","diatom_test_2012_12_19","ca5a6066-11be-11e3-b45f-0026b9326338"
"appearance","character","0","diatom_test_2012_12_19","ca5a612e-11be-11e3-b45f-0026b9326338"
"mean","character","0","diatom_test_2012_12_19","ca5a61f6-11be-11e3-b45f-0026b9326338"
"broken","condition","0","diatom_test_2012_12_19","ca5a62b4-11be-11e3-b45f-0026b9326338"
"lost","count","0","diatom_test_2012_12_19","ca5a637c-11be-11e3-b45f-0026b9326338"
"thick","height","0","diatom_test_2012_12_19","ca5a643a-11be-11e3-b45f-0026b9326338"
"thicker","height","0","diatom_test_2012_12_19","ca5a6502-11be-11e3-b45f-0026b9326338"
"thickness","height","0","diatom_test_2012_12_19","ca5a65c0-11be-11e3-b45f-0026b9326338"
"thin","height","0","diatom_test_2012_12_19","ca5a6688-11be-11e3-b45f-0026b9326338"
"thinner","height","0","diatom_test_2012_12_19","ca5a6746-11be-11e3-b45f-0026b9326338"
"projects","orientation","0","diatom_test_2012_12_19","ca5a680e-11be-11e3-b45f-0026b9326338"
"sloping","orientation","0","diatom_test_2012_12_19","ca5a68d6-11be-11e3-b45f-0026b9326338"
"directed","orientation","0","diatom_test_2012_12_19","ca5a6994-11be-11e3-b45f-0026b9326338"
"direction","orientation","0","diatom_test_2012_12_19","ca5a6a5c-11be-11e3-b45f-0026b9326338"
"spaced","pattern","0","diatom_test_2012_12_19","ca5a6b24-11be-11e3-b45f-0026b9326338"
